,MX,MP,CR,TSCC
146,0.5,0.5,0.7,479981.4666666667
147,0.5,0.5,0.8,466049.86666666664
148,0.5,0.5,0.9,474221.5
149,0.5,0.5,1.0,471294.7
150,0.5,0.6,0.5,463088.8333333333
151,0.5,0.6,0.6,468358.56666666665
152,0.5,0.6,0.7,454845.36666666664
153,0.5,0.6,0.8,448305.4666666667
154,0.5,0.6,0.9,450411.76666666666
155,0.5,0.6,1.0,450438.4
156,0.5,0.7,0.5,461103.5333333333
157,0.5,0.7,0.6,453982.4666666667
158,0.5,0.7,0.7,456610.5333333333
159,0.5,0.7,0.8,458654.56666666665
160,0.5,0.7,0.9,456745.6666666667
161,0.5,0.7,1.0,449280.7
162,0.5,0.8,0.5,470349.3333333333
163,0.5,0.8,0.6,466075.9
164,0.5,0.8,0.7,459913.4
165,0.5,0.8,0.8,460170.0333333333
166,0.5,0.8,0.9,456176.36666666664
167,0.5,0.8,1.0,459315.1666666667
168,0.5,0.9,0.5,481408.3
169,0.5,0.9,0.6,481095.0333333333
170,0.5,0.9,0.7,483849.26666666666
171,0.5,0.9,0.8,479318.2
172,0.5,0.9,0.9,481765.43333333335
173,0.5,0.9,1.0,478363.2
174,0.5,1.0,0.5,503134.6666666667
175,0.5,1.0,0.6,514239.23333333334
176,0.5,1.0,0.7,498311.4
177,0.5,1.0,0.8,495713.1
178,0.5,1.0,0.9,497887.7
179,0.5,1.0,1.0,509345.7
